date,title,link,year,month,day
2021-02-01,习近平同党外人士共迎新春 代表中共中央 向各民主党派 工商联和无党派人士 向统一战线广大成员 致以诚挚的问候和新春的祝福,https://tv.cctv.com/2021/02/01/VIDEnf0DeU4fpjf1lfEmOzMa210201.shtml,2021,2,1
2021-02-01,【奋斗百年路 启航新征程·脱贫攻坚答卷】吕梁深山里踏出脱贫路,https://tv.cctv.com/2021/02/01/VIDEJUrqMZK9dv08KQKMCM9W210201.shtml,2021,2,1
2021-02-01,歌唱美好新生活 携手奋进奔小康,https://tv.cctv.com/2021/02/01/VIDEUsHjrPp6FFjFgpDm3DhQ210201.shtml,2021,2,1
2021-02-01,欢迎中外记者采访十三届全国人大四次会议和全国政协十三届四次会议,https://tv.cctv.com/2021/02/01/VIDEHZlBUwuLQtMKECGc7pl6210201.shtml,2021,2,1
2021-02-01,全国双拥工作领导小组、退役军人事务部、中央军委政治工作部向全国双拥模范、广大官兵和优抚对象致慰问信,https://tv.cctv.com/2021/02/01/VIDEhMOHRghbHuUQuwIXJTvO210201.shtml,2021,2,1
2021-02-01,【迈好第一步 见到新气象】何建坤：瞄准碳达峰目标 强化协同治理,https://tv.cctv.com/2021/02/01/VIDEoHwC4TBtqr940TdyL2eA210201.shtml,2021,2,1
2021-02-01,春运客流总体下降 出行服务不断升级,https://tv.cctv.com/2021/02/01/VIDErALVc8DJT4U9zxVxrvUN210201.shtml,2021,2,1
2021-02-01,春节临近 各地继续加强疫情防控,https://tv.cctv.com/2021/02/01/VIDERj8Z1DCqSXlsEy9hsZ3d210201.shtml,2021,2,1
2021-02-01,国家卫生健康委通报最新疫情,https://tv.cctv.com/2021/02/01/VIDENRy8rsQpIbgHpEsZEAd7210201.shtml,2021,2,1
2021-02-01,全球首次实现8K电视直播和5G传输播出 中央广播电视总台8K超高清频道试验开播,https://tv.cctv.com/2021/02/01/VIDEST7LMSdC1MB8fHJ12VeT210201.shtml,2021,2,1
2021-02-01,【国内联播快讯】《互联网保险业务监管办法》2月1日起施行,https://tv.cctv.com/2021/02/01/VIDEpGlqITLOpWtw51snnMSA210201.shtml,2021,2,1
2021-02-01,【国内联播快讯】全国四级法院实现跨区域立案服务全覆盖,https://tv.cctv.com/2021/02/01/VIDEpGlqITLOpWtw51snnMSA210201.shtml,2021,2,1
